project_code,project_name,building_name,address_line,city,unit_number,rooms,area_sqm,has_mamad,tenancy_start,tenancy_end,tenancy_status,terms_profile,party_kind,national_id,full_name,preferred_language,role,is_service_contact,phone,contact_from,contact_to
,,בניין נחשון 4,נחשון 4,רמלה — מרשם שבור,1,3,70,yes,2026-01-01,2027-12-31,ACTIVE,נספח תחזוקה — שבור,PERSON,072600001,רות אביב,he,PRIMARY_TENANT,yes,058-260-0001,2026-01-01,
,,בניין נחשון 4,נחשון 4,רמלה — מרשם שבור,2,3,70,yes,2026-01-01,2027-12-31,ACTIVE,נספח תחזוקה — שבור,PERSON,,בלי תעודה,he,PRIMARY_TENANT,yes,058-260-0002,2026-01-01,
,,בניין נחשון 4,נחשון 4,רמלה — מרשם שבור,3,3,70,yes,2026-01-01,2027-12-31,ACTIVE,נספח תחזוקה — שבור,PERSON,072600003,מספר עירום,he,PRIMARY_TENANT,yes,582600003,2026-01-01,
,,בניין נחשון 4,נחשון 4,רמלה — מרשם שבור,4,3,70,yes,2027-01-01,2026-01-01,ACTIVE,נספח תחזוקה — שבור,PERSON,072600004,תאריך הפוך,he,PRIMARY_TENANT,yes,058-260-0004,2026-01-01,
,,בניין נחשון 4,נחשון 4,רמלה — מרשם שבור,5,3,70,yes,2026-01-01,2027-12-31,ACTIVE,נספח תחזוקה — שבור,PERSON,072600005,תפקיד לא קיים,he,LANDLORD,yes,058-260-0005,2026-01-01,
,,בניין נחשון 4,נחשון 4,רמלה — מרשם שבור,6,3,70,yes,2026-01-01,2027-12-31,ACTIVE,,PERSON,072600006,בלי נספח,he,PRIMARY_TENANT,yes,058-260-0006,2026-01-01,
,,בניין נחשון 4,נחשון 4,רמלה — מרשם שבור,7,3,70,yes,2026-01-01,2027-12-31,ACTIVE,נספח תחזוקה — שבור,PERSON,072600007,חסרה עמודה,he,PRIMARY_TENANT,yes,058-260-0007,2026-01-01
,,בניין נחשון 4,נחשון 4,רמלה — מרשם שבור,1,3,70,yes,2026-01-01,2027-12-31,ACTIVE,נספח תחזוקה — שבור,PERSON,072600008,ערב ששומע הכל,he,GUARANTOR,yes,058-260-0008,2026-01-01,
,,בניין נחשון 4,נחשון 4,רמלה — מרשם שבור,1,3,70,yes,2026-06-01,2027-05-31,ACTIVE,נספח תחזוקה — שבור,PERSON,072600009,חפיפה על דירה 1,he,PRIMARY_TENANT,yes,058-260-0009,2026-06-01,
,,בניין נחשון 4,נחשון 4,רמלה — מרשם שבור,8,3,70,yes,2026-01-01,2027-12-31,ACTIVE,נספח תחזוקה — שבור,PERSON,072600010,מספר של רות,he,PRIMARY_TENANT,yes,058-260-0001,2026-01-01,
,,בניין נחשון 4,נחשון 4,רמלה — מרשם שבור,9,3,70,yes,2026-01-01,2027-12-31,ACTIVE,נספח תחזוקה — שבור,PERSON,072600011,שורה תקינה אחרונה,he,PRIMARY_TENANT,yes,058-260-0011,2026-01-01,
